,date,TotalBeds,TotalBeds_change,TotalBeds_change_7day,TotalBeds_change_14day,TotalBeds_7day,TotalBeds_14day,TotalOpenBeds,TotalOpenBeds_change,TotalOpenBeds_change_7day,TotalOpenBeds_change_14day,TotalOpenBeds_7day,TotalOpenBeds_14day,TotalInUseBedsNonCOVID,TotalInUseBedsNonCOVID_change,TotalInUseBedsNonCOVID_change_7day,TotalInUseBedsNonCOVID_change_14day,TotalInUseBedsNonCOVID_7day,TotalInUseBedsNonCOVID_14day,TotalInUseBedsCOVID,TotalInUseBedsCOVID_change,TotalInUseBedsCOVID_change_7day,TotalInUseBedsCOVID_change_14day,TotalInUseBedsCOVID_7day,TotalInUseBedsCOVID_14day,ICUBeds,ICUBeds_change,ICUBeds_change_7day,ICUBeds_change_14day,ICUBeds_7day,ICUBeds_14day,ICUOpenBeds,ICUOpenBeds_change,ICUOpenBeds_change_7day,ICUOpenBeds_change_14day,ICUOpenBeds_7day,ICUOpenBeds_14day,ICUInUseBedsNonCOVID,ICUInUseBedsNonCOVID_change,ICUInUseBedsNonCOVID_change_7day,ICUInUseBedsNonCOVID_change_14day,ICUInUseBedsNonCOVID_7day,ICUInUseBedsNonCOVID_14day,ICUInUseBedsCOVID,ICUInUseBedsCOVID_change,ICUInUseBedsCOVID_change_7day,ICUInUseBedsCOVID_change_14day,ICUInUseBedsCOVID_7day,ICUInUseBedsCOVID_14day,VentilatorCapacity,VentilatorCapacity_change,VentilatorCapacity_change_7day,VentilatorCapacity_change_14day,VentilatorCapacity_7day,VentilatorCapacity_14day,VentilatorAvailable,VentilatorAvailable_change,VentilatorAvailable_change_7day,VentilatorAvailable_change_14day,VentilatorAvailable_7day,VentilatorAvailable_14day,VentilatorInUseNonCOVID,VentilatorInUseNonCOVID_change,VentilatorInUseNonCOVID_change_7day,VentilatorInUseNonCOVID_change_14day,VentilatorInUseNonCOVID_7day,VentilatorInUseNonCOVID_14day,VentilatorInUseCOVID,VentilatorInUseCOVID_change,VentilatorInUseCOVID_change_7day,VentilatorInUseCOVID_change_14day,VentilatorInUseCOVID_7day,VentilatorInUseCOVID_14day
32,2020-05-14,32393,-20.0,-17.857142857142858,27.642857142857142,32444.285714285714,32294.071428571428,10167,-29.0,7.0,-45.357142857142854,10459.0,10439.0,17853,110.0,32.857142857142854,111.07142857142857,17438.85714285714,17200.785714285714,4373,-101.0,-57.714285714285715,-38.07142857142857,4546.428571428572,4654.285714285715,3701,25.0,-9.857142857142858,3.0714285714285716,3732.8571428571427,3712.785714285714,928,17.0,10.428571428571429,1.7142857142857142,923.1428571428571,907.3571428571429,1644,11.0,-3.142857142857143,10.928571428571429,1608.142857142857,1582.2857142857142,1129,-3.0,-17.142857142857142,-9.571428571428571,1201.5714285714287,1223.142857142857,5130,109.0,141.85714285714286,104.21428571428571,4830.714285714285,4255.714285714285,3501,192.0,83.57142857142857,79.28571428571429,3091.1428571428573,2744.0,954,-69.0,67.42857142857143,32.214285714285715,1025.4285714285713,770.6428571428571,675,-14.0,-9.142857142857142,-7.285714285714286,714.1428571428571,741.0714285714286
33,2020-05-15,32562,169.0,13.428571428571429,37.857142857142854,32457.714285714286,32331.928571428572,10261,94.0,-10.428571428571429,-32.857142857142854,10448.57142857143,10406.142857142857,17991,138.0,89.28571428571429,99.92857142857143,17528.14285714286,17300.714285714286,4310,-63.0,-65.42857142857143,-29.214285714285715,4481.0,4625.071428571428,3800,99.0,5.428571428571429,8.071428571428571,3738.285714285714,3720.8571428571427,1008,80.0,21.571428571428573,4.785714285714286,944.7142857142857,912.1428571428571,1657,13.0,-4.0,11.5,1604.142857142857,1593.7857142857142,1135,6.0,-12.142857142857142,-8.214285714285714,1189.4285714285713,1214.9285714285713,5450,320.0,136.14285714285714,125.35714285714286,4966.857142857143,4381.071428571428,3605,104.0,108.85714285714286,88.21428571428571,3200.0,2832.214285714286,1192,238.0,40.0,46.857142857142854,1065.4285714285713,817.5,653,-22.0,-12.714285714285714,-9.714285714285714,701.4285714285714,731.3571428571429
34,2020-05-16,32812,250.0,45.42857142857143,58.0,32503.14285714286,32389.928571428572,11215,954.0,53.0,22.071428571428573,10501.57142857143,10428.214285714286,17235,-756.0,9.714285714285714,60.57142857142857,17537.85714285714,17361.285714285714,4362,52.0,-17.285714285714285,-24.642857142857142,4463.714285714285,4600.428571428572,3848,48.0,11.857142857142858,12.571428571428571,3750.1428571428573,3733.4285714285716,1082,74.0,19.142857142857142,10.071428571428571,963.8571428571429,922.2142857142857,1587,-70.0,2.0,6.285714285714286,1606.142857142857,1600.0714285714287,1179,44.0,-9.285714285714286,-3.7857142857142856,1180.142857142857,1211.142857142857,5469,19.0,128.0,127.07142857142857,5094.857142857143,4508.142857142857,3578,-27.0,127.0,89.35714285714286,3327.0,2921.5714285714284,1141,-51.0,-4.428571428571429,38.357142857142854,1061.0,855.8571428571429,750,97.0,5.428571428571429,-0.6428571428571429,706.8571428571429,730.7142857142857
35,2020-05-17,33038,226.0,79.28571428571429,73.35714285714286,32582.428571428572,32463.285714285714,12075,860.0,159.0,80.85714285714286,10660.57142857143,10509.07142857143,16704,-531.0,-40.57142857142857,20.5,17497.285714285714,17381.785714285714,4259,-103.0,-39.142857142857146,-28.0,4424.571428571428,4572.428571428572,3870,22.0,15.142857142857142,13.5,3765.285714285714,3746.9285714285716,1243,161.0,42.0,22.142857142857142,1005.8571428571429,944.3571428571429,1505,-82.0,-6.714285714285714,-0.7857142857142857,1599.4285714285713,1599.2857142857142,1122,-57.0,-20.142857142857142,-7.857142857142857,1160.0,1203.2857142857142,5655,186.0,152.14285714285714,155.71428571428572,5247.0,4663.857142857143,3718,140.0,148.71428571428572,105.64285714285714,3475.714285714286,3027.214285714286,1289,148.0,16.142857142857142,58.285714285714285,1077.142857142857,914.1428571428571,648,-102.0,-12.714285714285714,-8.214285714285714,694.1428571428571,722.5
36,2020-05-18,33300,262.0,124.42857142857143,93.92857142857143,32706.85714285714,32557.214285714286,11215,-860.0,101.71428571428571,73.64285714285714,10762.285714285714,10582.714285714286,17847,1143.0,78.14285714285714,59.07142857142857,17575.428571428572,17440.85714285714,4238,-21.0,-55.42857142857143,-38.785714285714285,4369.142857142857,4533.642857142857,3910,40.0,25.142857142857142,17.928571428571427,3790.4285714285716,3764.8571428571427,1123,-120.0,22.571428571428573,17.428571428571427,1028.4285714285713,961.7857142857143,1705,200.0,21.571428571428573,13.642857142857142,1621.0,1612.9285714285713,1082,-40.0,-19.0,-13.142857142857142,1141.0,1190.142857142857,5429,-226.0,63.142857142857146,140.0,5310.142857142857,4803.857142857143,3589,-129.0,35.142857142857146,89.57142857142857,3510.8571428571427,3116.785714285714,1198,-91.0,40.57142857142857,60.285714285714285,1117.7142857142858,974.4285714285714,642,-6.0,-12.571428571428571,-9.857142857142858,681.5714285714286,712.6428571428571
37,2020-05-19,31398,-1902.0,-147.42857142857142,-49.642857142857146,32559.428571428572,32507.571428571428,10409,-806.0,28.857142857142858,20.571428571428573,10791.142857142857,10603.285714285714,16837,-1010.0,-116.85714285714286,-21.642857142857142,17458.571428571428,17419.214285714286,4152,-86.0,-59.42857142857143,-48.57142857142857,4309.714285714285,4485.071428571428,3461,-449.0,-38.142857142857146,-16.0,3752.285714285714,3748.8571428571427,1036,-87.0,18.857142857142858,12.928571428571429,1047.2857142857142,974.7142857142857,1331,-374.0,-40.714285714285715,-19.142857142857142,1580.2857142857142,1593.7857142857142,1094,12.0,-16.285714285714285,-9.785714285714286,1124.7142857142858,1180.357142857143,5383,-46.0,52.285714285714285,132.0,5362.428571428572,4935.857142857143,3418,-171.0,20.285714285714285,79.0,3531.1428571428573,3195.785714285714,1345,147.0,45.42857142857143,64.42857142857143,1163.142857142857,1038.857142857143,620,-22.0,-13.428571428571429,-11.428571428571429,668.1428571428571,701.2142857142857
38,2020-05-20,33093,1695.0,97.14285714285714,51.785714285714285,32656.571428571428,32559.35714285714,11704,1295.0,215.42857142857142,126.0,11006.57142857143,10729.285714285714,17277,440.0,-66.57142857142857,-20.214285714285715,17392.0,17399.0,4112,-40.0,-51.714285714285715,-54.0,4258.0,4431.071428571428,3687,226.0,1.5714285714285714,-0.5714285714285714,3753.8571428571427,3748.285714285714,1236,200.0,46.42857142857143,28.5,1093.7142857142858,1003.2142857142857,1362,31.0,-38.714285714285715,-17.357142857142858,1541.5714285714287,1576.4285714285713,1089,-5.0,-6.142857142857143,-11.714285714285714,1118.5714285714287,1168.642857142857,5727,344.0,100.85714285714286,140.21428571428572,5463.285714285715,5076.071428571428,3929,511.0,88.57142857142857,117.85714285714286,3619.714285714286,3313.6428571428573,1188,-157.0,23.571428571428573,33.5,1186.7142857142858,1072.357142857143,610,-10.0,-11.285714285714286,-11.142857142857142,656.8571428571429,690.0714285714286
39,2020-05-21,33065,-28.0,96.0,39.07142857142857,32752.571428571428,32598.428571428572,11818,114.0,235.85714285714286,121.42857142857143,11242.42857142857,10850.714285714286,17280,3.0,-81.85714285714286,-24.5,17310.14285714286,17374.5,3967,-145.0,-58.0,-57.857142857142854,4200.0,4373.214285714285,3701,14.0,0.0,-4.928571428571429,3753.8571428571427,3743.3571428571427,1235,-1.0,43.857142857142854,27.142857142857142,1137.5714285714287,1030.357142857143,1385,23.0,-37.0,-20.071428571428573,1504.5714285714287,1556.357142857143,1081,-8.0,-6.857142857142857,-12.0,1111.7142857142858,1156.642857142857,5765,38.0,90.71428571428571,116.28571428571429,5554.0,5192.357142857143,3956,27.0,65.0,74.28571428571429,3684.714285714286,3387.9285714285716,1207,19.0,36.142857142857146,51.785714285714285,1222.857142857143,1124.142857142857,602,-8.0,-10.428571428571429,-9.785714285714286,646.4285714285714,680.2857142857143
40,2020-05-22,33254,189.0,98.85714285714286,56.142857142857146,32851.42857142857,32654.571428571428,11729,-89.0,209.71428571428572,99.64285714285714,11452.142857142857,10950.357142857143,17732,452.0,-37.0,26.142857142857142,17273.14285714286,17400.64285714286,3793,-174.0,-73.85714285714286,-69.64285714285714,4126.142857142857,4303.571428571428,3708,7.0,-13.142857142857142,-3.857142857142857,3740.714285714286,3739.5,1299,64.0,41.57142857142857,31.571428571428573,1179.142857142857,1061.9285714285713,1382,-3.0,-39.285714285714285,-21.642857142857142,1465.2857142857142,1534.7142857142858,1027,-54.0,-15.428571428571429,-13.785714285714286,1096.2857142857142,1142.857142857143,5720,-45.0,38.57142857142857,87.35714285714286,5592.571428571428,5279.714285714285,3806,-150.0,28.714285714285715,68.78571428571429,3713.4285714285716,3456.714285714286,1307,100.0,16.428571428571427,28.214285714285715,1239.2857142857142,1152.357142857143,607,5.0,-6.571428571428571,-9.642857142857142,639.8571428571429,670.6428571428571
41,2020-05-23,33289,35.0,68.14285714285714,56.785714285714285,32919.57142857143,32711.35714285714,12626,897.0,201.57142857142858,127.28571428571429,11653.714285714286,11077.642857142857,16936,-796.0,-42.714285714285715,-16.5,17230.428571428572,17384.14285714286,3727,-66.0,-90.71428571428571,-54.0,4035.4285714285716,4249.571428571428,3709,1.0,-19.857142857142858,-4.0,3720.8571428571427,3735.5,1337,38.0,36.42857142857143,27.785714285714285,1215.5714285714287,1089.7142857142858,1365,-17.0,-31.714285714285715,-14.857142857142858,1433.5714285714287,1519.857142857143,1007,-20.0,-24.571428571428573,-16.928571428571427,1071.7142857142858,1125.9285714285713,5732,12.0,37.57142857142857,82.78571428571429,5630.142857142857,5362.5,3884,78.0,43.714285714285715,85.35714285714286,3757.1428571428573,3542.0714285714284,1216,-91.0,10.714285714285714,3.142857142857143,1250.0,1155.5,632,25.0,-16.857142857142858,-5.714285714285714,623.0,664.9285714285714
42,2020-05-24,33321,32.0,40.42857142857143,59.857142857142854,32960.0,32771.21428571428,12915,289.0,120.0,139.5,11773.714285714286,11217.142857142857,16607,-329.0,-13.857142857142858,-27.214285714285715,17216.571428571428,17356.928571428572,3799,72.0,-65.71428571428571,-52.42857142857143,3969.714285714286,4197.142857142857,3709,0.0,-23.0,-3.9285714285714284,3697.8571428571427,3731.5714285714284,1407,70.0,23.428571428571427,32.714285714285715,1239.0,1122.4285714285713,1277,-88.0,-32.57142857142857,-19.642857142857142,1401.0,1500.2142857142858,1025,18.0,-13.857142857142858,-17.0,1057.857142857143,1108.9285714285713,5728,-4.0,10.428571428571429,81.28571428571429,5640.571428571428,5443.785714285715,4061,177.0,49.0,98.85714285714286,3806.1428571428573,3640.9285714285716,1062,-154.0,-32.42857142857143,-8.142857142857142,1217.5714285714287,1147.357142857143,605,-27.0,-6.142857142857143,-9.428571428571429,616.8571428571429,655.5
43,2020-05-25,33343,22.0,6.142857142857143,65.28571428571429,32966.142857142855,32836.5,12554,-361.0,191.28571428571428,146.5,11965.0,11363.642857142857,16968,361.0,-125.57142857142857,-23.714285714285715,17091.0,17333.214285714286,3821,22.0,-59.57142857142857,-57.5,3910.1428571428573,4139.642857142857,3709,0.0,-28.714285714285715,-1.7857142857142858,3669.1428571428573,3729.785714285714,1401,-6.0,39.714285714285715,31.142857142857142,1278.7142857142858,1153.5714285714287,1273,-4.0,-61.714285714285715,-20.071428571428573,1339.2857142857142,1480.142857142857,1035,10.0,-6.714285714285714,-12.857142857142858,1051.142857142857,1096.0714285714287,5756,28.0,46.714285714285715,54.92857142857143,5687.285714285715,5498.714285714285,3958,-103.0,52.714285714285715,43.92857142857143,3858.8571428571427,3684.8571428571427,1208,146.0,1.4285714285714286,21.0,1219.0,1168.357142857143,590,-15.0,-7.428571428571429,-10.0,609.4285714285714,645.5
44,2020-05-26,33414,71.0,288.0,70.28571428571429,33254.142857142855,32906.78571428572,11887,-667.0,211.14285714285714,120.0,12176.142857142857,11483.642857142857,17677,709.0,120.0,1.5714285714285714,17211.0,17334.785714285714,3850,29.0,-43.142857142857146,-51.285714285714285,3867.0,4088.3571428571427,3729,20.0,38.285714285714285,0.07142857142857142,3707.4285714285716,3729.8571428571427,1336,-65.0,42.857142857142854,30.857142857142858,1321.5714285714287,1184.4285714285713,1362,89.0,4.428571428571429,-18.142857142857142,1343.7142857142858,1462.0,1031,-4.0,-9.0,-12.642857142857142,1042.142857142857,1083.4285714285713,5785,29.0,57.42857142857143,54.857142857142854,5744.714285714285,5553.571428571428,4062,104.0,92.0,56.142857142857146,3950.8571428571427,3741.0,1131,-77.0,-30.571428571428573,7.428571428571429,1188.4285714285713,1175.7857142857142,592,2.0,-4.0,-8.714285714285714,605.4285714285714,636.7857142857143
45,2020-05-27,33662,248.0,81.28571428571429,89.21428571428571,33335.42857142857,32996.0,11428,-459.0,-39.42857142857143,88.0,12136.714285714286,11571.642857142857,18585,908.0,186.85714285714286,60.142857142857146,17397.85714285714,17394.928571428572,3649,-201.0,-66.14285714285714,-58.92857142857143,3800.8571428571427,4029.4285714285716,3749,20.0,8.857142857142858,5.214285714285714,3716.285714285714,3735.0714285714284,1281,-55.0,6.428571428571429,26.428571428571427,1328.0,1210.857142857143,1459,97.0,13.857142857142858,-12.428571428571429,1357.5714285714287,1449.5714285714287,1009,-22.0,-11.428571428571429,-8.785714285714286,1030.7142857142858,1074.642857142857,5790,5.0,9.0,54.92857142857143,5753.714285714285,5608.5,4076,14.0,21.0,54.785714285714285,3971.8571428571427,3795.785714285714,1138,7.0,-7.142857142857143,8.214285714285714,1181.2857142857142,1184.0,576,-16.0,-4.857142857142857,-8.071428571428571,600.5714285714286,628.7142857142857
46,2020-05-28,33826,164.0,108.71428571428571,102.35714285714286,33444.142857142855,33098.357142857145,11701,273.0,-16.714285714285715,109.57142857142857,12120.0,11681.214285714286,18526,-59.0,178.0,48.07142857142857,17575.85714285714,17443.0,3599,-50.0,-52.57142857142857,-55.285714285714285,3748.285714285714,3974.1428571428573,3779,30.0,11.142857142857142,5.571428571428571,3727.4285714285716,3740.6428571428573,1333,52.0,14.0,28.928571428571427,1342.0,1239.7857142857142,1466,7.0,11.571428571428571,-12.714285714285714,1369.142857142857,1436.857142857143,980,-29.0,-14.428571428571429,-10.642857142857142,1016.2857142857143,1064.0,5840,50.0,10.714285714285714,50.714285714285715,5764.428571428572,5659.214285714285,4166,90.0,30.0,47.5,4001.8571428571427,3843.285714285714,1081,-57.0,-18.0,9.071428571428571,1163.2857142857142,1193.0714285714287,593,17.0,-1.2857142857142858,-5.857142857142857,599.2857142857143,622.8571428571429
47,2020-05-29,34254,428.0,142.85714285714286,120.85714285714286,33587.0,33219.21428571428,12577,876.0,121.14285714285714,165.42857142857142,12241.142857142857,11846.642857142857,18340,-186.0,86.85714285714286,24.928571428571427,17662.714285714286,17467.928571428572,3337,-262.0,-65.14285714285714,-69.5,3683.1428571428573,3904.6428571428573,3811,32.0,14.714285714285714,0.7857142857142857,3742.1428571428573,3741.4285714285716,1404,71.0,15.0,28.285714285714285,1357.0,1268.0714285714287,1482,16.0,14.285714285714286,-12.5,1383.4285714285713,1424.357142857143,925,-55.0,-14.571428571428571,-15.0,1001.7142857142857,1049.0,5826,-14.0,15.142857142857142,26.857142857142858,5779.571428571428,5686.071428571428,4150,-16.0,49.142857142857146,38.92857142857143,4051.0,3882.214285714286,1015,-66.0,-41.714285714285715,-12.642857142857142,1121.5714285714287,1180.4285714285713,661,68.0,7.714285714285714,0.5714285714285714,607.0,623.4285714285714
48,2020-05-30,34082,-172.0,113.28571428571429,90.71428571428571,33700.28571428572,33309.92857142857,13225,648.0,85.57142857142857,143.57142857142858,12326.714285714286,11990.214285714286,17556,-784.0,88.57142857142857,22.928571428571427,17751.285714285714,17490.85714285714,3301,-36.0,-60.857142857142854,-75.78571428571429,3622.285714285714,3828.8571428571427,3780,-31.0,10.142857142857142,-4.857142857142857,3752.285714285714,3736.5714285714284,1441,37.0,14.857142857142858,25.642857142857142,1371.857142857143,1293.7142857142858,1398,-84.0,4.714285714285714,-13.5,1388.142857142857,1410.857142857143,941,16.0,-9.428571428571429,-17.0,992.2857142857143,1032.0,5847,21.0,16.428571428571427,27.0,5796.0,5713.071428571428,4158,8.0,39.142857142857146,41.42857142857143,4090.1428571428573,3923.6428571428573,1139,124.0,-11.0,-0.14285714285714285,1110.5714285714287,1180.2857142857142,550,-111.0,-11.714285714285714,-14.285714285714286,595.2857142857143,609.1428571428571
49,2020-05-31,34217,135.0,128.0,84.21428571428571,33828.28571428572,33394.142857142855,13496,271.0,83.0,101.5,12409.714285714286,12091.714285714286,17497,-59.0,127.14285714285714,56.642857142857146,17878.428571428572,17547.5,3224,-77.0,-82.14285714285714,-73.92857142857143,3540.1428571428573,3754.9285714285716,3793,13.0,12.0,-5.5,3764.285714285714,3731.0714285714284,1543,102.0,19.428571428571427,21.428571428571427,1391.2857142857142,1315.142857142857,1348,-50.0,10.142857142857142,-11.214285714285714,1398.2857142857142,1399.642857142857,902,-39.0,-17.571428571428573,-15.714285714285714,974.7142857142857,1016.2857142857143,5845,-2.0,16.714285714285715,13.571428571428571,5812.714285714285,5726.642857142857,4121,-37.0,8.571428571428571,28.785714285714285,4098.714285714285,3952.4285714285716,1177,38.0,16.428571428571427,-8.0,1127.0,1172.2857142857142,547,-3.0,-8.285714285714286,-7.214285714285714,587.0,601.9285714285714
50,2020-06-01,34249,32.0,129.42857142857142,67.78571428571429,33957.71428571428,33461.92857142857,12890,-606.0,48.0,119.64285714285714,12457.714285714286,12211.357142857143,18085,588.0,159.57142857142858,17.0,18038.0,17564.5,3274,50.0,-78.14285714285714,-68.85714285714286,3462.0,3686.0714285714284,3727,-66.0,2.5714285714285716,-13.071428571428571,3766.8571428571427,3718.0,1493,-50.0,13.142857142857142,26.428571428571427,1404.4285714285713,1341.5714285714287,1360,12.0,12.428571428571429,-24.642857142857142,1410.7142857142858,1375.0,874,-28.0,-23.0,-14.857142857142858,951.7142857142857,1001.4285714285714,5888,43.0,18.857142857142858,32.785714285714285,5831.571428571428,5759.428571428572,4246,125.0,41.142857142857146,46.92857142857143,4139.857142857143,3999.3571428571427,1094,-83.0,-16.285714285714285,-7.428571428571429,1110.7142857142858,1164.857142857143,548,1.0,-6.0,-6.714285714285714,581.0,595.2142857142857
51,2020-06-02,34419,170.0,143.57142857142858,215.78571428571428,34101.28571428572,33677.71428571428,13048,158.0,165.85714285714286,188.5,12623.57142857143,12399.857142857143,18198,113.0,74.42857142857143,97.21428571428571,18112.428571428572,17661.714285714286,3173,-101.0,-96.71428571428571,-69.92857142857143,3365.285714285714,3616.1428571428573,3725,-2.0,-0.5714285714285714,18.857142857142858,3766.285714285714,3736.8571428571427,1510,17.0,24.857142857142858,33.857142857142854,1429.2857142857142,1375.4285714285713,1371,11.0,1.2857142857142858,2.857142857142857,1412.0,1377.857142857143,844,-30.0,-26.714285714285715,-17.857142857142858,925.0,983.5714285714286,5891,3.0,15.142857142857142,36.285714285714285,5846.714285714285,5795.714285714285,4149,-97.0,12.428571428571429,52.214285714285715,4152.285714285715,4051.5714285714284,1234,140.0,14.714285714285714,-7.928571428571429,1125.4285714285713,1156.9285714285713,508,-40.0,-12.0,-8.0,569.0,587.2142857142857
52,2020-06-03,34535,116.0,124.71428571428571,103.0,34226.0,33780.71428571428,12940,-108.0,216.0,88.28571428571429,12839.57142857143,12488.142857142857,18551,353.0,-4.857142857142857,91.0,18107.571428571428,17752.714285714286,3044,-129.0,-86.42857142857143,-76.28571428571429,3278.8571428571427,3539.8571428571427,3824,99.0,10.714285714285714,9.785714285714286,3777.0,3746.6428571428573,1514,4.0,33.285714285714285,19.857142857142858,1462.5714285714287,1395.2857142857142,1457,86.0,-0.2857142857142857,6.785714285714286,1411.7142857142858,1384.642857142857,853,9.0,-22.285714285714285,-16.857142857142858,902.7142857142857,966.7142857142857,5924,33.0,19.142857142857142,14.071428571428571,5865.857142857143,5809.785714285715,4368,219.0,41.714285714285715,31.357142857142858,4194.0,4082.9285714285716,1040,-194.0,-14.0,-10.571428571428571,1111.4285714285713,1146.357142857143,516,8.0,-8.571428571428571,-6.714285714285714,560.4285714285714,580.5
53,2020-06-04,34743,208.0,131.0,119.85714285714286,34357.0,33900.57142857143,12936,-4.0,176.42857142857142,79.85714285714286,13016.0,12568.0,18896,345.0,52.857142857142854,115.42857142857143,18160.428571428572,17868.14285714286,2911,-133.0,-98.28571428571429,-75.42857142857143,3180.5714285714284,3464.4285714285716,3868,44.0,12.714285714285714,11.928571428571429,3789.714285714286,3758.5714285714284,1521,7.0,26.857142857142858,20.428571428571427,1489.4285714285713,1415.7142857142858,1530,73.0,9.142857142857142,10.357142857142858,1420.857142857143,1395.0,817,-36.0,-23.285714285714285,-18.857142857142858,879.4285714285714,947.8571428571429,5915,-9.0,10.714285714285714,10.714285714285714,5876.571428571428,5820.5,4399,31.0,33.285714285714285,31.642857142857142,4227.285714285715,4114.571428571428,1016,-24.0,-9.285714285714286,-13.642857142857142,1102.142857142857,1132.7142857142858,500,-16.0,-13.285714285714286,-7.285714285714286,547.1428571428571,573.2142857142857
